id,title,author,translator,category,publisher,price,stock,status,description,barcode,isbn,incomingDate,registeredAt,newUntil,classification,preview,cover
book-1787144641849-0-e38852,통합적 사고,시스템 사고,,시스템 사고,Syntropy Books,0,0,published,질서와 관계를 보는 사고의 방향을 제시합니다.,,,,2026-08-19T15:32:57.399Z,,품절,,
book-1787144641849-1-10bdbc,생태학의 미래,환경 철학,,생태철학,Syntropy Books,0,0,published,생태와 인간 사회의 미래를 함께 생각합니다.,,,,2026-08-19T15:32:57.399Z,,품절,,
book-1787144641849-2-90127f,우주와 시간,우주론,,우주와 질서,Syntropy Books,0,0,published,우주를 이해하는 시선과 시간의 의미를 탐색합니다.,,,,2026-08-19T15:32:57.399Z,,품절,,
book-1787144641849-3-96c1ad,인간과 진화,진화사,,진화와 협력,Syntropy Books,0,0,published,진화와 협력의 관계를 통해 인간의 역할을 조명합니다.,,,,2026-08-19T15:32:57.399Z,,품절,,
draft-seed-10,공존의 패턴,오태경,,진화와 협력,기록의 숲,0,2,published,협력이 도덕을 바꾸는 과정을 생각해봅니다.,,,,2026-08-19,2026-09-18T16:04:29.220Z,등록완료,,draft-cover-2.jpg
draft-seed-1,고요한 붉은 달,서윤아,,생명과학,Syntropy Books 큐레이션,0,4,draft,,,,,2026-08-19T15:32:57.394Z,,등록완료,,
draft-seed-2,결정의 형태,최하린,,,새벽서재,18000,3,draft,사람의 선택이 어떻게 반복되는 구조를 만들고 있는지 따져봅니다.,,,,2026-08-01,,등록완료,,
draft-seed-3,사라지는 경계,나재호,김지현,시스템 사고,Syntropy Books 큐레이션,0,4,draft,,,,,2026-08-05,,등록완료,,
draft-seed-4,무질서의 그림자,이도엽,,복잡계,지식의 바다,22000,4,draft,혼란 속에서도 질서를 읽는 해석을 던집니다.,,,,2026-08-19T15:32:57.395Z,,등록완료,,
draft-seed-5,빛의 장기,박서린,박현우,,Syntropy Books 큐레이션,16000,2,draft,,,,,2026-07-29,,등록완료,,draft-cover-1.jpg
draft-seed-6,달빛 아래의 네트워크,정우진,,시스템 사고,에코플러스,0,3,draft,관계가 만드는 서사와 자원 배분을 살펴봅니다.,,,,2026-08-10,,등록완료,,book.svg
draft-seed-7,우주에서 읽는 인간,강민서,서은주,우주와 질서,Syntropy Books 큐레이션,17500,3,draft,,,,,2026-08-19T15:32:57.395Z,,등록완료,,
draft-seed-8,시간의 나무,유세은,,,우주문학사,0,3,draft,기억과 예측이 서로 얽히는 방식의 철학을 제시합니다.,,,,2026-08-03,,등록완료,,
draft-seed-9,진화의 가벼움,빈예준,,진화와 협력,Syntropy Books 큐레이션,19000,3,draft,,,,,2026-08-07,,등록완료,,
draft-seed-11,에너지의 일기,홍지우,윤다혜,문명과 에너지,Syntropy Books 큐레이션,0,5,draft,,,,,2026-08-07,,등록완료,,
draft-seed-12,도시에서 배우는 평온,신유나,,,네온서가,20500,2,draft,도시의 소음 속에서 심리적 균형을 찾는 방법을 설명합니다.,,,,2026-08-19T15:32:57.395Z,,등록완료,,
draft-seed-13,생태계의 낮은 목소리,문지환,,생태철학,Syntropy Books 큐레이션,0,2,draft,,,,,2026-08-02,,등록완료,,draft-cover-3.jpg
draft-seed-14,막다른 길의 철학,이한결,,철학,휴머니티 북스,23000,3,draft,모순과 멈춤이 만들어내는 생각의 지점을 살펴봅니다.,,,,2026-08-19T15:32:57.395Z,,등록완료,,
draft-seed-15,새벽의 구조,전예림,김보라,철학,Syntropy Books 큐레이TION,0,2,draft,,,,,2026-08-11,,등록완료,,
book-1787155053146-12b984,새 도서,,,철학,Syntropy Books 큐레이션,0,1,draft,,,,,2026-08-19T15:57:33.146Z,,등록완료,,
book-1787184627369-75a71a,새 도서,,,철학,Syntropy Books 큐레이션,0,1,draft,,,,,2026-08-20T00:10:27.369Z,,등록완료,,
